log_id,character_id,knowledge_id,review_timestamp,grade,previous_interval,new_interval,retrievability_at_review
#602001,#700002,#AF1001,2025-11-04 13:17:35.0222+00,3,0,1,0.55
#602002,#700002,#AF0001,2025-11-04 13:17:36.144338+00,3,0,1,0.3
#602003,#700002,#AF0000,2025-11-04 13:17:37.346965+00,3,0,1,0.3
#602004,#700002,#AF1002,2025-11-04 13:17:38.489778+00,3,0,1,0.3
#602005,#700002,#AF1003,2025-11-04 13:17:39.67064+00,3,0,1,0.3
#602006,#700002,#62DFA0,2025-11-04 13:18:39.3119+00,3,0,1,0.55
#602007,#700002,#AF1001,2025-11-04 13:30:18.493751+00,3,0,1,0.55
#602008,#700002,#AF0001,2025-11-04 13:30:20.159917+00,3,0,1,0.3
#602009,#700002,#AF0000,2025-11-04 13:30:21.280303+00,3,0,1,0.3
#60200A,#700002,#AF1002,2025-11-04 13:30:22.397857+00,3,0,1,0.3
#60200B,#700002,#AF1003,2025-11-04 13:30:23.630277+00,3,0,1,0.3
#60200C,#700002,#62DFA0,2025-11-04 23:48:17.473499+00,3,0,1,0.5
#60200D,#700002,#AF1001,2025-11-05 03:03:26.967858+00,3,0,1,0.55
#60200E,#700002,#AF0001,2025-11-05 03:03:28.151169+00,3,0,1,0.3
#60200F,#700002,#AF0000,2025-11-05 03:03:29.280617+00,3,0,1,0.3
#602010,#700002,#AF1002,2025-11-05 03:03:30.409192+00,3,0,1,0.3
#602011,#700002,#AF1003,2025-11-05 03:03:31.537386+00,3,0,1,0.3
#602012,#700002,#AF1001,2025-11-05 03:12:55.936708+00,3,0,1,0.55
#602013,#700002,#AF0001,2025-11-05 03:12:57.102315+00,3,0,1,0.3
#602014,#700002,#AF0000,2025-11-05 03:12:58.322004+00,3,0,1,0.3
#602015,#700002,#AF1002,2025-11-05 03:12:59.459163+00,3,0,1,0.3
#602016,#700002,#AF1003,2025-11-05 03:13:00.693305+00,3,0,1,0.3
#602017,#700002,#AF1001,2025-11-05 03:59:09.304329+00,3,0,1,0.55
#602018,#700002,#AF0001,2025-11-05 03:59:10.558688+00,3,0,1,0.3
#602019,#700002,#AF0000,2025-11-05 03:59:11.691976+00,3,0,1,0.3
#60201A,#700002,#AF1002,2025-11-05 03:59:12.928574+00,3,0,1,0.3
#60201B,#700002,#AF1003,2025-11-05 03:59:14.101156+00,3,0,1,0.3
#60201C,#700002,#AF1001,2025-11-06 04:13:33.711437+00,3,0,1,0.55
#60201D,#700002,#AF0001,2025-11-06 04:13:35.184192+00,3,0,1,0.3
#60201E,#700002,#AF0000,2025-11-06 04:13:36.879741+00,3,0,1,0.3
#60201F,#700002,#AF1002,2025-11-06 04:13:38.353579+00,3,0,1,0.3
#602020,#700002,#AF1003,2025-11-06 04:13:39.837962+00,3,0,1,0.3
#602021,#700002,#AF0205,2025-11-06 04:16:39.627037+00,3,0,1,0.25
#602022,#700002,#AF0305,2025-11-06 04:16:41.120638+00,3,0,1,0.25
#602023,#700002,#AF1001,2025-11-06 04:27:40.851481+00,3,0,1,0.55
#602024,#700002,#AF0001,2025-11-06 04:27:42.326437+00,3,0,1,0.3
#602025,#700002,#AF0000,2025-11-06 04:27:43.81152+00,3,0,1,0.3
#602026,#700002,#AF1002,2025-11-06 04:27:45.28531+00,3,0,1,0.3
#602027,#700002,#AF1003,2025-11-06 04:27:46.754302+00,3,0,1,0.3
#602028,#700002,#600002,2025-11-06 04:57:54.69114+00,3,0,1,0.8
#602029,#700002,#600003,2025-11-06 04:57:56.191334+00,3,0,1,0.8
#60202A,#700002,#600005,2025-11-06 04:57:57.65876+00,3,0,1,0.8
#60202B,#700002,#600006,2025-11-06 04:57:59.133291+00,3,0,1,0.8
#60202C,#700002,#600013,2025-11-06 04:58:00.601801+00,3,0,1,0.55
#60202D,#700002,#600002,2025-11-06 04:59:16.790331+00,3,0,1,0.8
#60202E,#700002,#600003,2025-11-06 04:59:18.263019+00,3,0,1,0.8
#60202F,#700002,#600005,2025-11-06 04:59:19.731072+00,3,0,1,0.8
#602030,#700002,#600006,2025-11-06 04:59:21.229625+00,3,0,1,0.8
#602031,#700002,#600013,2025-11-06 04:59:22.702377+00,3,0,1,0.55
#602032,#700005,#600002,2025-11-06 14:06:49.462276+00,3,0,1,0.8
#602033,#700005,#600003,2025-11-06 14:06:50.941304+00,3,0,1,0.8
#602034,#700005,#600005,2025-11-06 14:06:52.420128+00,3,0,1,0.8
#602035,#700005,#600006,2025-11-06 14:06:53.898942+00,3,0,1,0.8
#602036,#700005,#600010,2025-11-06 14:06:55.473287+00,3,0,1,0.8
